"1050℃+150MPa蠕变条件/时间","1150℃+100MPa蠕变条件/时间","700MPa不均匀变形的蠕变测试/温度","700MPa晶界滑移的蠕变测试/温度","_id","Al","Al2O3涂层/Al2O3含量","Al2O3涂层/Al含量","Al2O3涂层/Fe含量","Al2O3涂层/NH4Cl含量","Al2O3涂层/NH5Cl含量","Al2O3涂层/加热时间","Al2O3涂层/温度","Al2O4涂层/加热时间","B","C","Co","Cr","Hf","Ir","Mo","Nb","Ni","Re","Ru","Ta","Ti","W","Zr","力学性能/蠕变应变","固溶处理/时间","固溶处理/温度","固溶处理油淬/时间","固溶处理油淬/温度","固溶处理（炉冷）/时间","固溶处理（炉冷）/温度","圆盘型显微结构724Mpa且677℃下蠕变测试/时间","均匀化处理/时间","均匀化处理/温度","备注","孔型显微结构724Mpa且677℃下蠕变测试/时间","拉伸/时间","拉伸蠕变测试/测试压力","拉伸蠕变测试/测试温度","拉伸蠕变测试/蠕变时间","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","施加恒定应力/应力","施加恒定温度/温度","时效处理/时间","时效处理/温度","时效处理/炉冷","时效处理/空冷","时效处理空冷/时间","时效处理空冷/温度","材料牌号","炉冷/温度","热挤压/热挤压温度","热轧/热轧时间","热轧/热轧温度","直径/坯料直径","第一次轧制/温度","第二次轧制/温度","蠕变变形测试/时间","蠕变变形测试/测试温度","蠕变变形测试/蠕变应力","蠕变实验/平均压力","蠕变实验/平均应力","蠕变实验/时间","蠕变实验/晶向","蠕变实验/温度","蠕变断裂/加载应力","蠕变断裂/时间","蠕变断裂实验/温度","蠕变断裂测试/温度","蠕变测试/压力","蠕变测试/应力","蠕变测试/时间","蠕变测试/晶格取向","蠕变测试/温度","蠕变测试/蠕变应力","蠕变测试/蠕变时间","蠕变测试/蠕变温度","蠕变测试/试样厚度","退火/退火时间","退火/退火温度","重量/铸锭重量","镀铝/镀铝"
,,,,"ObjectId(""5b4ce50fe6b1a819a85d73c9"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"1.58E+0%",,,,,,,,,,"",,"911.547911547912h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce514e6b1a819a85d73cb"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"4.15E+0%",,,,,,,,,,"",,"949.385749385749h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce519e6b1a819a85d73cd"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"1.04E+1%",,,,,,,,,,"",,"959.70515970516h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce51de6b1a819a85d73cf"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"3.47E+0%",,,,,,,,,,"",,"942.506142506143h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce522e6b1a819a85d73d1"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"2.89E+0%",,,,,,,,,,"",,"939.066339066339h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce527e6b1a819a85d73d3"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"2.02E+0%",,,,,,,,,,"",,"918.427518427519h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce52ce6b1a819a85d73d5"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"4.92E+0%",,,,,,,,,,"",,"959.70515970516h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce531e6b1a819a85d73d7"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"6.18E+0%",,,,,,,,,,"",,"959.70515970516h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce536e6b1a819a85d73d9"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"7.05E+0%",,,,,,,,,,"",,"963.144963144963h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce540e6b1a819a85d73db"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"8.78E-1%",,,,,,,,,,"",,"206.388206388206h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce545e6b1a819a85d73dd"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"8.36E-1%",,,,,,,,,,"",,"378.378378378378h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce54ae6b1a819a85d73df"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"6.74E+0%",,,,,,,,,,"",,"533.169533169533h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce54fe6b1a819a85d73e1"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"9.91E-1%",,,,,,,,,,"",,"667.321867321867h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce554e6b1a819a85d73e3"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"7.57E+0%",,,,,,,,,,"",,"536.609336609337h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce559e6b1a819a85d73e5"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"9.40E-1%",,,,,,,,,,"",,"598.525798525798h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce55ee6b1a819a85d73e7"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"8.80E-1%",,,,,,,,,,"",,"275.184275184275h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce563e6b1a819a85d73e9"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"1.04E+0%",,,,,,,,,,"",,"815.233415233415h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce568e6b1a819a85d73eb"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"1.04E+0%",,,,,,,,,,"",,"729.238329238329h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce56de6b1a819a85d73ed"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"4.38E-1%",,,,,,,,,,"",,"72.2358722358722h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce571e6b1a819a85d73ef"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"5.58E+0%",,,,,,,,,,"",,"536.609336609337h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce576e6b1a819a85d73f1"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"4.91E+0%",,,,,,,,,,"",,"533.169533169533h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce57be6b1a819a85d73f3"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"5.37E-1%",,,,,,,,,,"",,"127.272727272727h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce580e6b1a819a85d73f5"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"8.41E-1%",,,,,,,,,,"",,"526.289926289926h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce585e6b1a819a85d73f7"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","6.9","5.0","5.6",,"5.6",,"8.38E-1%",,,,,,,,,,"",,"440.29484029484h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce58fe6b1a819a85d73f9"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"6.42E-1%",,,,,,,,,,"",,"368.058968058968h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce593e6b1a819a85d73fb"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"9.84E+0%",,,,,,,,,,"",,"399.017199017199h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce598e6b1a819a85d73fd"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"4.39E-1%",,,,,,,,,,"",,"113.513513513514h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce59de6b1a819a85d73ff"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"1.20E+1%",,,,,,,,,,"",,"402.457002457002h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5a2e6b1a819a85d7401"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"1.86E+0%",,,,,,,,,,"",,"498.771498771499h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5a7e6b1a819a85d7403"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"4.08E+0%",,,,,,,,,,"",,"526.289926289926h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5ace6b1a819a85d7405"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"1.23E+0%",,,,,,,,,,"",,"467.813267813268h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5b1e6b1a819a85d7407"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"6.87E-1%",,,,,,,,,,"",,"285.503685503686h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5b5e6b1a819a85d7409"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"5.88E-1%",,,,,,,,,,"",,"206.388206388206h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5bae6b1a819a85d740b"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"1.13E+1%",,,,,,,,,,"",,"402.457002457002h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5bfe6b1a819a85d740d"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"2.73E+0%",,,,,,,,,,"",,"519.410319410319h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5c4e6b1a819a85d740f"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"8.38E-1%",,,,,,,,,,"",,"440.29484029484h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5c9e6b1a819a85d7411"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"3.89E-1%",,,,,,,,,,"",,"41.2776412776413h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5cee6b1a819a85d7413"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"3.41E+0%",,,,,,,,,,"",,"519.410319410319h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5d3e6b1a819a85d7415"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8",,"Bal","4.7","5.0","7.9",,"5.6",,"1.47E+0%",,,,,,,,,,"",,"485.012285012285h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138TaRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5dce6b1a819a85d7417"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"8.29E+0%",,,,,,,,,,"",,"399.017199017199h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5e1e6b1a819a85d7419"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"1.36E+1%",,,,,,,,,,"",,"423.095823095823h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5e6e6b1a819a85d741b"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"1.49E+1%",,,,,,,,,,"",,"426.535626535627h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
