"1%蠕变应变的时间/时间","_id","Al","B","C","Co","Cr","Hf","La","Mn","Mo","Nb","Ni","Re","Ru","Si","Ta","Ti","W","Zr","力学性能/蠕变极限","固溶热处理/加热时间","固溶热处理/加热温度","固溶热处理/升温速度","固溶热处理/炉冷时间","固溶热处理/炉冷温度","固溶热处理/第一次保温时间","固溶热处理/第一次保温温度","固溶热处理/第三次保温时间","固溶热处理/第三次保温温度","固溶热处理/第二次保温时间","固溶热处理/第二次保温温度","固溶热处理/第四次保温时间","固溶热处理/第四次保温温度","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/低温时效温度","时效/高温时效温度","材料牌号","第1步热处理/时间","第1步热处理/温度","第2步热处理/时间","第2步热处理/温度","第2步热处理/空冷","蠕变测试/Larson-Miller参数","蠕变测试/变形量","蠕变测试/时间","蠕变测试/测试温度","蠕变测试/温度","高温低应力蠕变极限测试/Larson-Miller参数"
,"ObjectId(""5b4d08e7e6b1a819a85d8173"")","5.7",,,"3.0","1.7",,,,"0.5",,"65.7wt.%","6.6","3.0",,"8.4","0.1","5.3",,"494.472Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N+3Ru",,,,,,,,,,,"26.3836100%"
,"ObjectId(""5b4d08ece6b1a819a85d8175"")","5.7",,,"3.0","1.7",,,,"0.5",,"65.7wt.%","6.6","3.0",,"8.4","0.1","5.3",,"414.363Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N+3Ru",,,,,,,,,,,"27.2302100%"
,"ObjectId(""5b4d08f1e6b1a819a85d8177"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"289.499Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"28.3148100%"
,"ObjectId(""5b4d08f5e6b1a819a85d8179"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"334.215Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"27.8651100%"
,"ObjectId(""5b4d08fae6b1a819a85d817b"")","5.7",,,"3.0","1.7",,,,"0.5",,"65.7wt.%","6.6","3.0",,"8.4","0.1","5.3",,"457.212Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N+3Ru",,,,,,,,,,,"26.7804100%"
,"ObjectId(""5b4d08ffe6b1a819a85d817d"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"175.968Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"30.1138100%"
,"ObjectId(""5b4d0904e6b1a819a85d817f"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"229.938Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"29.2407100%"
,"ObjectId(""5b4d0909e6b1a819a85d8181"")","5.7",,,"3.0","1.7",,,,"0.5",,"65.7wt.%","6.6","3.0",,"8.4","0.1","5.3",,"434.854Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N+3Ru",,,,,,,,,,,"27.0053100%"
,"ObjectId(""5b4d090ee6b1a819a85d8183"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"259.721Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"28.791100%"
,"ObjectId(""5b4d0913e6b1a819a85d8185"")","5.7",,,"3.0","1.7",,,,"0.5",,"65.7wt.%","6.6","3.0",,"8.4","0.1","5.3",,"473.978Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N+3Ru",,,,,,,,,,,"26.5952100%"
,"ObjectId(""5b4d0918e6b1a819a85d8187"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"383.583Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"27.336100%"
,"ObjectId(""5b4d091fe6b1a819a85d8189"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"202.022Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"29.6905100%"
,"ObjectId(""5b4d0924e6b1a819a85d818b"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"359.365Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"27.6005100%"
,"ObjectId(""5b4d0929e6b1a819a85d818d"")","5.7",,,"3.0","1.7",,,,"0.5",,"65.7wt.%","6.6","3.0",,"8.4","0.1","5.3",,"384.558Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N+3Ru",,,,,,,,,,,"27.5608100%"
,"ObjectId(""5b4d092ee6b1a819a85d818f"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"301.61Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"28.1958100%"
,"ObjectId(""5b4d0938e6b1a819a85d8191"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"157.415Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"30.7222100%"
,"ObjectId(""5b4d093de6b1a819a85d8193"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"496.279Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"26.0661100%"
,"ObjectId(""5b4d0942e6b1a819a85d8195"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"258.714Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"28.3942100%"
,"ObjectId(""5b4d0946e6b1a819a85d8197"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"211.242Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"29.082100%"
,"ObjectId(""5b4d094be6b1a819a85d8199"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"196.346Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"29.2804100%"
,"ObjectId(""5b4d0950e6b1a819a85d819b"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"177.78Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"29.8228100%"
,"ObjectId(""5b4d0955e6b1a819a85d819d"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"270.807Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"28.1825100%"
,"ObjectId(""5b4d095ae6b1a819a85d819f"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"168.528Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"30.2593100%"
,"ObjectId(""5b4d095fe6b1a819a85d81a1"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"412.454Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"27.0053100%"
,"ObjectId(""5b4d0964e6b1a819a85d81a3"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"187.042Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"29.4392100%"
,"ObjectId(""5b4d0968e6b1a819a85d81a5"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"242.886Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"28.6058100%"
,"ObjectId(""5b4d096de6b1a819a85d81a7"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"227.995Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"28.8307100%"
,"ObjectId(""5b4d0972e6b1a819a85d81a9"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"481.38Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"26.2513100%"
,"ObjectId(""5b4d0977e6b1a819a85d81ab"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"457.163Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"26.5159100%"
,"ObjectId(""5b4d097ce6b1a819a85d81ad"")","5.9",,,"3.1","1.7",,,,"0.5",,"67.9wt.%","6.8",,,"8.5","0.1","5.5",,"434.807Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"CMSX-10N",,,,,,,,,,,"26.754100%"
,"ObjectId(""5b4d0986e6b1a819a85d81af"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"400.353Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"27.1772100%"
,"ObjectId(""5b4d098be6b1a819a85d81b1"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"500.062Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"26.3307100%"
,"ObjectId(""5b4d098fe6b1a819a85d81b3"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"164.635Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"29.3995100%"
,"ObjectId(""5b4d0994e6b1a819a85d81b5"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"456.262Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"26.6878100%"
,"ObjectId(""5b4d0999e6b1a819a85d81b7"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"295.958Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"27.918100%"
,"ObjectId(""5b4d099ee6b1a819a85d81b9"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"364.002Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"27.4418100%"
,"ObjectId(""5b4d09a3e6b1a819a85d81bb"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"337.904Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"27.627100%"
,"ObjectId(""5b4d09a8e6b1a819a85d81bd"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"315.533Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"27.7857100%"
,"ObjectId(""5b4d09ade6b1a819a85d81bf"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"187.84Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"28.7116100%"
,"ObjectId(""5b4d09b1e6b1a819a85d81c1"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"434.83Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"26.873100%"
,"ObjectId(""5b4d09b6e6b1a819a85d81c3"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"377.98Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"27.3228100%"
,"ObjectId(""5b4d09bbe6b1a819a85d81c5"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"475.835Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"26.5423100%"
,"ObjectId(""5b4d09c0e6b1a819a85d81c7"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"411.528Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"27.045100%"
,"ObjectId(""5b4d09c5e6b1a819a85d81c9"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"176.699Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"29.0291100%"
,"ObjectId(""5b4d09cae6b1a819a85d81cb"")","5.6",,,"7.8","3.9","0.1",,,"2.1",,"60.6wt.%","4.6","3.0",,"7.3",,"5.0",,"285.701Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D+3Ru",,,,,,,,,,,"27.9709100%"
,"ObjectId(""5b4d09d4e6b1a819a85d81cd"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"471.136Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"26.3704100%"
,"ObjectId(""5b4d09dee6b1a819a85d81d1"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"362.079Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"27.1376100%"
,"ObjectId(""5b4d09e2e6b1a819a85d81d3"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"494.437Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"26.1984100%"
,"ObjectId(""5b4d09e7e6b1a819a85d81d5"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"285.649Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"27.6931100%"
,"ObjectId(""5b4d09ece6b1a819a85d81d7"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"335.983Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"27.336100%"
