"_id","Al","B","C","Co","Cr","Fe","Hf","Mo","Nb+Ta","Ni","Pt","Re","Si","Ta","Ti","W","Y","Zr","低温施加载荷/工作能力（应力乘以变形应变）","低温施加载荷/温度","力学性能/应变","加压/压强","加热/温度","固溶处理油淬/时间","固溶处理油淬/温度","均匀化处理/时间","均匀化处理/温度","备注","应变测试/冲击速率","应变测试/应变位置","应变测试/径向位置","应变测试/时间","应变测试/长轴位置","持续时间/持续时间","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效处理/时间","时效处理/温度","时效处理/空冷","时效处理空冷/时间","时效处理空冷/温度","材料牌号","样品中位置/样品中位置","样品尺寸/d1","样品尺寸/d4","样品尺寸/d5","样品尺寸/样品d0","样品尺寸/模锻前RCS齿轮直径","样品尺寸/模锻后RCS齿轮直径","模锻/模锻","热加工/应变速率","热加工/时间","热加工/温度","热加工前处理/时间","热加工前处理/温度","热处理1/冷却速率","热处理1/时间","热处理1/温度","热处理2/冷却速率","热处理2/时间","热处理2/温度","热处理3/冷却速率","热处理3/时间","热处理3/温度","热处理4/冷却速率","热处理4/时间","热处理4/温度","热处理5/时间","热处理5/温度","第一次轧制/温度","第二次轧制/温度","等温蠕变实验/压力","等温蠕变实验/温度","等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/1min）","蠕变测试/初始压力","蠕变测试/初始温度","蠕变测试/时间","蠕变测试/测试温度","非等温蠕变实验/第一段时间","非等温蠕变实验/第一段温度","非等温蠕变实验/第三段时间","非等温蠕变实验/第三段温度","非等温蠕变实验/第二段时间","非等温蠕变实验/第二段温度","非等温蠕变实验/第四段时间","非等温蠕变实验/第四段温度","非等温蠕变实验/蠕变寿命","非等温蠕变实验/蠕变寿命/参考寿命","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/10min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/11min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/12min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/13min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/14min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/15min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/16min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/17min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/18min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/19min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/1min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/20min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/21min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/22min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/23min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/24min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/25min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/26min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/27min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/28min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/29min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/2min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/30min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/31min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/32min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/33min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/34min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/35min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/3min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/4min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/5min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/6min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/7min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/8min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/9min）"
"ObjectId(""5b4c9c72e6b1a81674aab86b"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"3.77104%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","582.28h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9c77e6b1a81674aab86d"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"2.74747%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","520.096h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9c7ce6b1a81674aab86f"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"3.44781%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","563.152h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9c82e6b1a81674aab871"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"2.0202%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","452.903h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9c87e6b1a81674aab873"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"2.50505%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","500.919h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9c8de6b1a81674aab875"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"1.85859%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","438.507h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9c92e6b1a81674aab877"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"1.58923%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","402.438h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9c9ce6b1a81674aab879"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"0.673401%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","93.8125h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9ca1e6b1a81674aab87b"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"0.727273%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","149.336h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9ca6e6b1a81674aab87d"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"0.915825%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","236.178h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cabe6b1a81674aab87f"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"0.861953%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","204.81h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cb0e6b1a81674aab881"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"0.646465%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","76.9206h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cb5e6b1a81674aab883"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"0.700337%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","122.782h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cb9e6b1a81674aab885"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"0.592593%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","35.8903h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cbee6b1a81674aab887"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"1.18519%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","313.31h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cc3e6b1a81674aab889"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"0.996633%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","262.699h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cc8e6b1a81674aab88b"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"0.565657%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","16.5829h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9ccde6b1a81674aab88d"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"1.07744%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","284.39h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cd2e6b1a81674aab88f"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"0.457912%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","6.98613h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cd8e6b1a81674aab891"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"0.619529%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","55.1977h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cdce6b1a81674aab893"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"0.808081%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","175.857h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9ce1e6b1a81674aab895"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"1.21212%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","650℃","335.033h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cebe6b1a81674aab897"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"4.20202%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","525℃","586.851h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cf0e6b1a81674aab899"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"2.77441%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","525℃","517.665h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cf5e6b1a81674aab89b"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"2.26263%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","525℃","474.495h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cfae6b1a81674aab89d"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"3.52862%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","525℃","558.272h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9cffe6b1a81674aab89f"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"4.68687%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","525℃","596.22h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9d04e6b1a81674aab8a1"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"1.93939%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","525℃","445.705h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9d09e6b1a81674aab8a3"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"2.96296%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","525℃","527.213h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9d0ee6b1a81674aab8a5"")","0.42",,"0.03",,"18.3","Balance",,"3","5.17","53.2wt.%",,,"0.12",,"1",,,,,,"3.23232%",,,,,,,"",,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09",,,,,,"718",,,,,,,,,,,,,,"3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",,,,,,"593Mpa","525℃","546.374h","650℃",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
