"/状态","_id","Al","C","Co","Cr","Fe","Mo","Nb+Ta","Ni","Si","Ta","Ti","W","力学性能/弹性模量","备注","拉伸测试/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","材料牌号","热处理1/冷却速率","热处理1/时间","热处理1/温度","热处理2/冷却速率","热处理2/时间","热处理2/温度","热处理3/冷却速率","热处理3/时间","热处理3/温度","热处理4/冷却速率","热处理4/时间","热处理4/温度","热处理5/时间","热处理5/温度","缩进/缩进值"
,"ObjectId(""5b4cc6c8e6b1a819a85d684b"")","3.6","0.07","9","12.2",,"1.9",,"balance",,"5","4.1","3.8","232.919GPa","",,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.","10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,"3.96"
,"ObjectId(""5b4cc6cde6b1a819a85d684d"")","3.6","0.07","9","12.2",,"1.9",,"balance",,"5","4.1","3.8","231.056GPa","",,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.","10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,"4.88"
,"ObjectId(""5b4cc6dbe6b1a819a85d6853"")","3.6","0.07","9","12.2",,"1.9",,"balance",,"5","4.1","3.8","240.373GPa","",,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.","10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,"0.91"
,"ObjectId(""5b4cc6e0e6b1a819a85d6855"")","3.6","0.07","9","12.2",,"1.9",,"balance",,"5","4.1","3.8","229.193GPa","",,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.","10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,"1.83"
,"ObjectId(""5b4cc6efe6b1a819a85d685b"")","3.6","0.07","9","12.2",,"1.9",,"balance",,"5","4.1","3.8","232.919GPa","",,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.","10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,"7.92"
,"ObjectId(""5b4cc6f4e6b1a819a85d685d"")","3.6","0.07","9","12.2",,"1.9",,"balance",,"5","4.1","3.8","218.012GPa","",,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.","10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,"6.86"
"退火态","ObjectId(""5b4db982e6b1a80d7cf45cf6"")",,,,,,,,,,,,,"137.2GPa","",,"粉末冶金材料及其制品生产新技术新工艺及质量检验新标准实用手册.第四卷","","尹海清","摘录","易善杰","2017-11-21","AuPdFeAl38-8.5-0.5",,,,,,,,,,,,,,,
"退火态","ObjectId(""5b4db987e6b1a80d7cf45cf8"")",,,,,,,,,,,,,"136.22GPa","",,"粉末冶金材料及其制品生产新技术新工艺及质量检验新标准实用手册.第四卷","","尹海清","摘录","易善杰","2017-11-21","AuPdFeAl40-9-1",,,,,,,,,,,,,,,
"硬态","ObjectId(""5b4db98ce6b1a80d7cf45cfa"")",,,,,,,,,,,,,"134.26GPa","",,"粉末冶金材料及其制品生产新技术新工艺及质量检验新标准实用手册.第四卷","","尹海清","摘录","易善杰","2017-11-21","AuPdFeAl40-9-1",,,,,,,,,,,,,,,
"退火态","ObjectId(""5b4db99ae6b1a80d7cf45d00"")",,,,,,,,,,,,,"196GPa","",,"粉末冶金材料及其制品生产新技术新工艺及质量检验新标准实用手册.第四卷","","尹海清","摘录","易善杰","2017-11-21","AuPdFeAl47-11-0.5",,,,,,,,,,,,,,,
