"_id","Al","B","C","Co","Cr","Mn","Mo","Nb","Ni","Re","Ru","Si","Ta","Ti","W","Y","Zr","力学性能/持久寿命","固溶/时间","固溶/温度","固溶处理油淬/时间","固溶处理油淬/温度","均匀化处理/时间","均匀化处理/温度","备注","应力破裂测试/力","应力破裂测试/温度","持久测试/应力","持久测试/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","材料牌号","热轧/厚度","热轧/温度","真空热挤/挤压率","真空热挤/温度","第1步热处理/时间","第1步热处理/温度","第2步热处理/时间","第2步热处理/温度","第3步热处理/时间","第3步热处理/温度","第4步热处理/时间","第4步热处理/温度","第一次轧制/温度","第二次轧制/温度","蠕变测试/拉应力","蠕变测试/温度","试样放置于高温/时间","试样放置于高温/温度"
"ObjectId(""5b4d1463e6b1a819a85d85d3"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","98.045h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"006h","8℃"
"ObjectId(""5b4d1468e6b1a819a85d85d5"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","67.2231h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"450.13h","850℃"
"ObjectId(""5b4d146de6b1a819a85d85d7"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","69.6784h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"85.113h","850℃"
"ObjectId(""5b4d1472e6b1a819a85d85d9"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","93.5593h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"005h","8℃"
"ObjectId(""5b4d1476e6b1a819a85d85db"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","91.7727h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"004h","8℃"
"ObjectId(""5b4d147be6b1a819a85d85dd"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","86.7158h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"003h","8℃"
"ObjectId(""5b4d1480e6b1a819a85d85df"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","69.3023h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"127.58h","850℃"
"ObjectId(""5b4d1485e6b1a819a85d85e1"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","110.081h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"008h","8℃"
"ObjectId(""5b4d148ae6b1a819a85d85e3"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","68.2401h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"338.26h","850℃"
"ObjectId(""5b4d148fe6b1a819a85d85e5"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","104.955h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"007h","8℃"
"ObjectId(""5b4d1499e6b1a819a85d85e7"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","73.7741h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"001h","8℃"
"ObjectId(""5b4d149de6b1a819a85d85e9"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","71.1969h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"823.29h","800℃"
"ObjectId(""5b4d14a2e6b1a819a85d85eb"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","80.7778h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"002h","8℃"
"ObjectId(""5b4d14a7e6b1a819a85d85ed"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","70.4586h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"576.29h","800℃"
"ObjectId(""5b4d14ace6b1a819a85d85ef"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","76.3583h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"001h","8℃"
"ObjectId(""5b4d14b1e6b1a819a85d85f1"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","72.3288h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"952.89h","800℃"
"ObjectId(""5b4d14b6e6b1a819a85d85f3"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","70.0755h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"224.73h","800℃"
"ObjectId(""5b4d14bbe6b1a819a85d85f5"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","78.4061h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"001h","8℃"
"ObjectId(""5b4d14c0e6b1a819a85d85f7"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","70.9844h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"725.42h","800℃"
"ObjectId(""5b4d14c5e6b1a819a85d85f9"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","70.1312h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"176.95h","800℃"
"ObjectId(""5b4d14c9e6b1a819a85d85fb"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","82.2614h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"002h","8℃"
"ObjectId(""5b4d14cee6b1a819a85d85fd"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","75.2055h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"001h","8℃"
"ObjectId(""5b4d14d3e6b1a819a85d85ff"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","69.9292h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"460.13h","800℃"
"ObjectId(""5b4d14d8e6b1a819a85d8601"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","70.0128h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"298.47h","800℃"
"ObjectId(""5b4d14dde6b1a819a85d8603"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","84.3302h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"003h","8℃"
"ObjectId(""5b4d14e7e6b1a819a85d8605"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","99.6332h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"503h","7℃"
"ObjectId(""5b4d14ece6b1a819a85d8607"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","71.1864h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"12.245h","800℃"
"ObjectId(""5b4d14f1e6b1a819a85d8609"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","86.0402h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"757.65h","750℃"
"ObjectId(""5b4d14f5e6b1a819a85d860b"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","94.6146h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"501h","7℃"
"ObjectId(""5b4d14fae6b1a819a85d860d"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","70.8486h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"41.871h","800℃"
"ObjectId(""5b4d14ffe6b1a819a85d860f"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","117.151h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"508h","7℃"
"ObjectId(""5b4d1504e6b1a819a85d8611"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","114.473h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"507h","7℃"
"ObjectId(""5b4d1509e6b1a819a85d8613"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","102.301h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"503h","7℃"
"ObjectId(""5b4d150ee6b1a819a85d8615"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","104.965h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"504h","7℃"
"ObjectId(""5b4d1513e6b1a819a85d8617"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","91.6612h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"501h","7℃"
"ObjectId(""5b4d1517e6b1a819a85d8619"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","70.8068h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"137.70h","800℃"
"ObjectId(""5b4d151ce6b1a819a85d861b"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","97.2858h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"502h","7℃"
"ObjectId(""5b4d1521e6b1a819a85d861d"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","111.802h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"506h","7℃"
"ObjectId(""5b4d1526e6b1a819a85d861f"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","108.221h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"505h","7℃"
"ObjectId(""5b4d152be6b1a819a85d8621"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","89.9025h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"866.36h","750℃"
"ObjectId(""5b4d1535e6b1a819a85d8623"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","69.6506h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"18.999h","750℃"
"ObjectId(""5b4d153ae6b1a819a85d8625"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","69.6784h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"9.113h","750℃"
"ObjectId(""5b4d153fe6b1a819a85d8627"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","82.244h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"412.21h","750℃"
"ObjectId(""5b4d1543e6b1a819a85d8629"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","74.6134h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"154.18h","750℃"
"ObjectId(""5b4d1548e6b1a819a85d862b"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","84.3023h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"627.58h","750℃"
"ObjectId(""5b4d154de6b1a819a85d862d"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","73.1542h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"95.25h","750℃"
"ObjectId(""5b4d1557e6b1a819a85d8631"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","79.8897h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"309.64h","750℃"
"ObjectId(""5b4d1561e6b1a819a85d8635"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","76.3757h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"193.35h","750℃"
"ObjectId(""5b4d156fe6b1a819a85d863b"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","78.4374h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"235.73h","750℃"
"ObjectId(""5b4d1574e6b1a819a85d863d"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","71.4093h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"51.152h","750℃"
"ObjectId(""5b4d1579e6b1a819a85d863f"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","70.5282h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"36.568h","750℃"
"ObjectId(""5b4d8be8e6b1a815d464f312"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","474h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃",,,,,,,,,,
"ObjectId(""5b4d8bf2e6b1a815d464f316"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","1722h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃",,,,,,,,,,
"ObjectId(""5b4d8c04e6b1a815d464f31c"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","487h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃",,,,,,,,,,
"ObjectId(""5b4d8c09e6b1a815d464f31e"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","125h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃",,,,,,,,,,
"ObjectId(""5b4d8c18e6b1a815d464f324"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","71h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃",,,,,,,,,,
"ObjectId(""5b4d8c52e6b1a815d464f33a"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","1579h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃",,,,,,,,
